PERSONID,GTCBSA,HRHHID,HEHOUSUT,HRHTYPE,HEFAMINC,HRNUMHOU
4963,38060,410551000000.0,1,1,15,2
4965,38060,410631000000.0,1,7,15,1
4972,38060,410874000000.0,1,3,12,3
4975,38060,410931000000.0,1,1,13,2
4977,38060,410992000000.0,1,1,13,3
4999,38060,414631000000.0,1,1,11,2
5001,38060,414874000000.0,1,4,14,5
5006,38060,414878000000.0,1,1,6,6
5012,38060,414906000000.0,1,1,14,4
5016,38060,414923000000.0,1,1,16,3
5019,38060,415051000000.0,1,4,12,2
5022,38060,415099000000.0,5,1,6,2
5024,38060,415231000000.0,1,4,6,3
5027,38060,415292000000.0,1,1,14,2
5029,38060,415395000000.0,1,7,1,1
5030,38060,415451000000.0,1,4,1,2
5032,38060,415495000000.0,1,7,12,1
5033,38060,415574000000.0,1,1,10,4
5037,38060,415599000000.0,1,1,2,5
5042,38060,415699000000.0,1,7,3,1
5043,38060,415751000000.0,1,1,12,2
5046,38060,415931000000.0,1,6,6,1
5049,38060,416574000000.0,1,1,11,2
5051,38060,416651000000.0,1,1,15,5
5056,38060,416706000000.0,1,6,1,1
5057,38060,416751000000.0,1,1,12,2
5059,38060,416795000000.0,1,1,13,2
5061,38060,416874000000.0,1,7,13,1
5062,38060,416906000000.0,1,6,4,2
5064,38060,417031000000.0,1,6,15,1
5065,38060,417095000000.0,1,7,13,1
5068,38060,417292000000.0,1,1,16,2
5071,38060,1580510000000.0,1,4,2,7
5078,38060,1780510000000.0,1,1,12,3
5081,38060,1940320000000.0,1,1,2,3
5086,38060,3063760000000.0,1,7,14,1
5087,38060,3063770000000.0,1,6,11,2
5092,38060,3073760000000.0,1,4,9,2
5117,38060,44860700000000.0,1,1,3,5
5122,38060,44969600000000.0,1,6,15,2
5127,38060,46930000000000.0,1,1,15,9
5136,38060,47800700000000.0,1,6,6,1
5140,38060,52084600000000.0,1,1,14,3
5143,38060,52240200000000.0,1,1,9,3
5147,38060,54330900000000.0,1,1,13,2
5149,38060,54660700000000.0,1,4,11,3
5152,38060,54930900000000.0,1,1,11,2
5154,38060,59040900000000.0,1,6,6,1
5155,38060,59540900000000.0,1,4,12,3
5160,38060,61680500000000.0,1,7,11,1
5162,38060,62910900000000.0,5,7,6,1
5164,38060,64860700000000.0,1,7,14,1
5165,38060,66030000000000.0,1,1,16,3
5168,38060,66840600000000.0,1,6,6,1
5170,38060,71547100000000.0,1,1,12,5
5175,38060,71647100000000.0,1,1,16,2
5178,38060,74030900000000.0,1,7,1,1
5179,38060,75014200000000.0,1,1,4,2
5181,38060,76030000000000.0,1,6,5,1
5183,38060,79040900000000.0,1,1,11,5
5188,38060,79140900000000.0,1,4,5,2
5195,38060,104578000000000.0,1,1,12,2
5198,38060,110406000000000.0,1,1,15,2
5200,38060,110506000000000.0,1,7,16,2
5204,38060,110606000000000.0,1,1,15,3
5221,38060,111740000000000.0,1,7,12,1
5227,38060,115950000000000.0,1,6,11,1
5241,38060,126730000000000.0,1,6,7,2
5244,38060,128530000000000.0,1,1,5,3
5265,38060,140366000000000.0,1,4,1,2
5274,38060,140603000000000.0,1,1,5,4
5289,38060,140844000000000.0,1,4,9,4
5305,38060,141160000000000.0,1,1,4,2
5308,38060,141630000000000.0,1,1,4,4
5316,38060,144498000000000.0,1,3,13,2
5318,38060,144728000000000.0,1,1,16,2
5320,38060,144964000000000.0,1,7,4,1
5327,38060,161242000000000.0,1,3,12,5
5332,38060,161442000000000.0,1,1,16,5
5337,38060,161542000000000.0,1,6,14,2
5340,38060,161942000000000.0,1,1,11,2
5347,38060,165150000000000.0,1,1,14,4
5360,38060,167310000000000.0,1,6,6,1
5376,38060,177450000000000.0,1,6,15,2
5386,38060,193260000000000.0,1,1,15,4
5394,38060,205045000000000.0,1,7,10,1
5402,38060,210504000000000.0,1,1,11,4
5408,38060,210704000000000.0,1,7,14,2
5415,38060,244961000000000.0,1,4,1,4
5420,38060,304578000000000.0,1,1,16,3
5425,38060,309005000000000.0,1,1,15,6
5433,38060,309055000000000.0,1,1,9,7
5443,38060,309075000000000.0,1,1,14,3
5446,38060,310604000000000.0,1,1,15,3
5452,38060,311544000000000.0,5,7,6,1
5453,38060,340446000000000.0,5,3,9,3
5465,38060,344138000000000.0,1,1,15,2
5467,38060,344493000000000.0,1,7,5,1
5471,38060,371246000000000.0,1,3,13,2
5473,38060,371546000000000.0,1,6,5,1
5474,38060,371646000000000.0,1,1,3,4
