person_id,detail_industry,detail_occupation,age,marital_status,sex,education_level,race,ft/pt,metropolitan,hours_a_week,deaf_diff_hearing,blind_diff_seeing_glass,diff_concerntrating_remembering_decision,diff_climbing_walking,diff_dressing_bathing,disability_issue
4964,42,10,51,1,1,44,1,1,38060,50,2,2,2,2,2,2
4965,41,10,66,6,2,44,1,1,38060,40,2,2,2,2,2,2
4966,51,1,47,4,1,44,1,1,38060,45,2,2,2,2,2,2
4971,45,15,48,4,2,43,1,1,38060,40,2,2,2,2,2,2
4972,38,1,31,6,1,40,1,1,38060,48,2,2,2,2,2,2
4973,32,17,33,6,1,40,1,1,38060,40,2,2,2,2,2,2
4974,38,3,29,4,1,41,4,1,38060,40,2,2,2,2,2,2
4975,42,10,61,1,2,42,1,1,38060,40,2,2,2,2,2,2
4977,22,16,18,1,2,39,1,1,38060,40,2,2,2,2,2,2
4978,46,1,22,1,1,39,1,1,38060,40,2,2,2,2,2,2
4999,19,22,60,1,1,33,1,1,38060,40,2,2,2,2,2,2
5000,42,15,56,1,2,39,1,2,38060,20,2,2,2,2,2,2
5002,38,13,26,1,2,32,1,1,38060,40,2,2,2,2,2,2
5003,12,14,22,6,1,39,1,1,38060,40,2,2,2,2,2,2
5004,43,1,53,1,1,39,1,1,38060,40,2,2,2,2,2,2
5005,27,17,20,6,2,39,1,1,38060,40,2,2,2,2,2,2
5006,38,14,35,1,1,35,1,1,38060,40,2,2,2,2,2,2
5012,38,9,32,1,1,43,1,2,38060,-4,2,2,2,2,2,2
5013,42,11,35,1,2,46,1,1,38060,40,2,2,2,2,2,2
5016,13,1,41,1,1,43,1,1,38060,50,2,2,2,2,2,2
5017,36,1,45,1,2,43,1,1,38060,50,2,2,2,2,2,2
5019,41,10,40,4,2,41,2,1,38060,36,2,2,2,2,2,2
5024,46,21,27,6,2,39,2,1,38060,40,2,2,2,2,2,2
5027,51,1,59,1,1,40,1,1,38060,40,2,2,2,2,2,2
5032,41,10,64,4,2,42,1,2,38060,24,2,2,2,2,2,2
5033,33,17,28,1,2,43,1,2,38060,1,2,2,2,2,2,2
5034,36,4,26,1,1,43,1,1,38060,40,2,2,2,2,2,2
5046,4,19,47,6,1,39,1,2,38060,24,2,2,2,2,2,2
5051,40,8,46,1,1,43,1,1,38060,50,2,2,2,2,2,2
5052,22,16,45,1,2,40,1,1,38060,40,2,2,2,2,2,2
5057,41,10,47,1,2,41,1,1,38060,36,2,2,2,2,2,2
5058,22,16,50,1,1,40,1,1,38060,-4,2,2,2,2,2,2
5059,36,4,32,1,1,44,4,1,38060,40,2,2,2,2,2,2
5061,41,11,59,4,2,44,4,1,38060,36,2,2,2,2,2,2
5062,36,16,43,4,1,39,1,1,38060,40,2,2,2,2,2,2
5063,22,16,42,4,1,39,1,1,38060,40,2,2,2,2,2,2
5064,40,8,48,6,1,42,1,1,38060,40,2,2,2,2,2,2
5065,49,6,29,6,2,43,1,1,38060,40,2,2,2,2,2,2
5068,42,1,40,1,1,44,1,1,38060,40,2,2,2,2,2,2
5069,42,10,39,1,2,44,1,1,38060,40,2,2,2,2,2,2
5071,46,13,19,6,2,37,6,2,38060,-4,2,2,2,2,2,2
5073,39,19,51,1,1,43,2,1,38060,40,2,2,2,2,2,2
5075,46,16,24,6,1,37,6,1,38060,40,2,2,2,2,2,2
5076,21,17,24,6,2,43,6,1,38060,40,2,2,2,2,2,2
5078,40,17,59,1,2,41,1,2,38060,34,2,2,2,2,2,2
5079,40,14,61,1,1,39,1,1,38060,40,2,2,2,2,2,2
5082,38,14,45,1,1,33,1,1,38060,-4,2,2,2,2,2,2
5087,42,17,53,6,1,46,1,1,38060,50,2,2,2,2,2,2
5089,22,16,31,1,1,43,2,1,38060,-4,2,2,2,2,2,2
5090,38,15,25,1,2,42,2,1,38060,40,2,2,2,2,2,2
5117,38,14,53,1,1,37,1,2,38060,20,2,2,2,2,2,2
5122,36,9,38,6,1,43,1,1,38060,40,2,2,2,2,2,2
5123,44,2,30,6,1,43,1,1,38060,40,2,2,2,2,2,2
5127,22,16,35,1,2,41,1,2,38060,10,2,2,2,2,2,2
5128,21,16,36,1,1,43,1,1,38060,40,2,2,2,2,2,2
5136,4,19,31,2,1,34,1,1,38060,39,2,1,2,2,2,1
5140,32,3,41,1,1,41,1,1,38060,40,2,2,2,2,2,2
5142,46,13,19,6,2,40,1,2,38060,30,2,2,2,2,2,2
5144,43,6,48,1,2,39,1,2,38060,27,2,2,2,2,2,2
5148,38,17,30,1,2,40,1,1,38060,40,2,2,2,2,2,2
5149,22,10,25,6,2,40,2,1,38060,40,2,2,2,2,2,2
5154,38,14,44,5,1,33,1,1,38060,40,2,2,2,1,2,1
5155,10,17,61,5,2,39,1,1,38060,40,2,2,2,2,2,2
5156,48,15,52,4,2,36,1,1,38060,40,2,2,2,2,2,2
5164,51,6,47,4,2,42,1,1,38060,40,2,2,2,2,2,2
5165,36,3,32,1,1,43,4,1,38060,40,2,2,2,2,2,2
5166,36,1,28,1,2,44,4,1,38060,40,2,2,2,2,2,2
5168,22,17,60,4,1,39,1,2,38060,28,2,2,2,2,2,2
5171,6,3,46,1,1,41,1,1,38060,40,2,2,2,2,2,2
5175,51,12,60,1,1,41,1,1,38060,40,2,2,2,2,2,2
5180,38,20,57,1,1,34,1,1,38060,40,2,2,2,2,2,2
5181,40,6,29,4,1,44,1,1,38060,40,2,2,2,2,2,2
5183,4,19,48,1,1,39,1,1,38060,40,2,2,2,2,2,2
5184,46,13,46,1,2,39,1,1,38060,40,2,2,2,2,2,2
5186,46,13,18,6,1,38,1,2,38060,5,2,2,2,2,2,2
5187,4,19,24,6,1,39,1,1,38060,40,2,2,2,2,2,2
5188,46,13,29,6,2,39,1,2,38060,25,2,2,2,2,2,2
5195,44,15,54,1,2,39,1,2,38060,12,2,2,2,2,2,2
5196,34,1,54,1,1,43,1,1,38060,50,2,2,2,2,2,2
5198,36,9,51,1,1,42,1,1,38060,60,2,2,2,2,2,2
5199,36,1,56,1,2,44,1,1,38060,40,2,2,2,2,2,2
5200,36,1,60,4,2,44,1,1,38060,60,2,2,2,2,2,2
5202,41,10,36,4,2,44,1,1,38060,40,2,2,2,2,2,2
5204,36,3,36,1,1,43,4,1,38060,38,2,2,2,2,2,2
5221,36,17,65,4,2,39,1,1,38060,37,2,2,2,2,2,2
5223,40,13,69,3,2,39,1,2,38060,25,2,2,2,2,2,2
5224,41,1,51,4,2,41,1,1,38060,40,2,2,2,2,2,2
5227,22,1,33,6,1,40,1,1,38060,40,2,2,2,2,2,2
5228,22,9,35,1,2,39,1,1,38060,36,2,2,2,2,2,2
5229,22,21,41,1,1,39,1,1,38060,40,2,2,2,2,2,2
5231,46,13,16,6,2,36,1,2,38060,20,2,2,2,2,2,2
5232,4,19,55,1,1,39,1,1,38060,40,2,2,2,2,2,2
5234,4,1,85,3,1,43,1,1,38060,50,2,2,2,2,2,2
5235,36,3,31,1,1,44,4,1,38060,40,2,2,2,2,2,2
5241,46,13,26,6,1,40,1,1,38060,40,2,2,2,2,2,2
5242,46,13,21,6,2,40,1,1,38060,40,2,2,2,2,2,2
5245,4,19,51,1,1,39,1,1,38060,35,2,2,2,2,2,2
5248,40,8,61,1,2,44,1,1,38060,40,2,2,2,2,2,2
5254,46,1,25,6,1,40,4,1,38060,50,2,2,2,2,2,2
5255,36,1,41,6,1,40,1,1,38060,40,2,2,2,2,2,2
5256,4,1,72,1,1,40,1,2,38060,20,2,2,2,2,2,2
5258,41,10,49,4,1,46,1,1,38060,60,2,2,2,2,2,2
5259,41,10,44,4,2,43,1,1,38060,40,2,2,2,2,2,2
5266,32,2,30,6,1,40,1,1,38060,40,2,2,2,2,2,2
5269,42,11,30,4,2,43,1,1,38060,40,2,2,2,2,2,2
