person_id,age,sex,hours_a_week,occupation,marital_status,education
4964,50-60,male,40-50hr,Healthcare practitioner and technical occupations,MARRIED - SPOUSE PRESENT,"MASTER'S DEGREE (EX: MA, MS, MEng, MEd, MSW)"
5069,30-40,female,30-40hr,Healthcare practitioner and technical occupations,MARRIED - SPOUSE PRESENT,"MASTER'S DEGREE (EX: MA, MS, MEng, MEd, MSW)"
5068,30-40,male,30-40hr,Management occupations,MARRIED - SPOUSE PRESENT,"MASTER'S DEGREE (EX: MA, MS, MEng, MEd, MSW)"
5199,50-60,female,30-40hr,Management occupations,MARRIED - SPOUSE PRESENT,"MASTER'S DEGREE (EX: MA, MS, MEng, MEd, MSW)"
5712,40-50,male,Much hr,Management occupations,MARRIED - SPOUSE PRESENT,"MASTER'S DEGREE (EX: MA, MS, MEng, MEd, MSW)"
5713,40-50,female,Vary hr,Management occupations,MARRIED - SPOUSE PRESENT,"MASTER'S DEGREE (EX: MA, MS, MEng, MEd, MSW)"
5312,30-40,female,30-40hr,"Arts, design, entertainment, sports, and media occupations",MARRIED - SPOUSE PRESENT,"MASTER'S DEGREE (EX: MA, MS, MEng, MEd, MSW)"
5992,30-40,female,30-40hr,Community and social service occupations,MARRIED - SPOUSE PRESENT,"MASTER'S DEGREE (EX: MA, MS, MEng, MEd, MSW)"
5498,60-70,male,Much hr,Community and social service occupations,MARRIED - SPOUSE PRESENT,"MASTER'S DEGREE (EX: MA, MS, MEng, MEd, MSW)"
5248,60-70,female,30-40hr,"Education, training, and library occupations",MARRIED - SPOUSE PRESENT,"MASTER'S DEGREE (EX: MA, MS, MEng, MEd, MSW)"
5457,40-50,female,30-40hr,"Education, training, and library occupations",MARRIED - SPOUSE PRESENT,"MASTER'S DEGREE (EX: MA, MS, MEng, MEd, MSW)"
5566,50-60,female,30-40hr,"Education, training, and library occupations",MARRIED - SPOUSE PRESENT,"MASTER'S DEGREE (EX: MA, MS, MEng, MEd, MSW)"
5683,50-60,female,30-40hr,"Education, training, and library occupations",MARRIED - SPOUSE PRESENT,"MASTER'S DEGREE (EX: MA, MS, MEng, MEd, MSW)"
5907,50-60,male,30-40hr,"Education, training, and library occupations",MARRIED - SPOUSE PRESENT,"MASTER'S DEGREE (EX: MA, MS, MEng, MEd, MSW)"
5908,50-60,female,30-40hr,"Education, training, and library occupations",MARRIED - SPOUSE PRESENT,"MASTER'S DEGREE (EX: MA, MS, MEng, MEd, MSW)"
5998,40-50,female,40-50hr,"Education, training, and library occupations",MARRIED - SPOUSE PRESENT,"MASTER'S DEGREE (EX: MA, MS, MEng, MEd, MSW)"
5202,30-40,female,30-40hr,Healthcare practitioner and technical occupations,WIFE ISSUE,"MASTER'S DEGREE (EX: MA, MS, MEng, MEd, MSW)"
4966,40-50,male,40-50hr,Management occupations,WIFE ISSUE,"MASTER'S DEGREE (EX: MA, MS, MEng, MEd, MSW)"
5200,50-60,female,Much hr,Management occupations,WIFE ISSUE,"MASTER'S DEGREE (EX: MA, MS, MEng, MEd, MSW)"
5181,20-30,male,30-40hr,Community and social service occupations,WIFE ISSUE,"MASTER'S DEGREE (EX: MA, MS, MEng, MEd, MSW)"
5409,30-40,male,30-40hr,"Education, training, and library occupations",WIFE ISSUE,"MASTER'S DEGREE (EX: MA, MS, MEng, MEd, MSW)"
4965,60-70,female,30-40hr,Healthcare practitioner and technical occupations,NEVER MARRIED,"MASTER'S DEGREE (EX: MA, MS, MEng, MEd, MSW)"
5504,30-40,female,40-50hr,Management occupations,NEVER MARRIED,"MASTER'S DEGREE (EX: MA, MS, MEng, MEd, MSW)"
5338,20-30,male,30-40hr,Community and social service occupations,NEVER MARRIED,"MASTER'S DEGREE (EX: MA, MS, MEng, MEd, MSW)"
5970,20-30,male,30-40hr,Sales and related occupations,NEVER MARRIED,"MASTER'S DEGREE (EX: MA, MS, MEng, MEd, MSW)"
5354,40-50,female,30-40hr,"Education, training, and library occupations",NEVER MARRIED,"MASTER'S DEGREE (EX: MA, MS, MEng, MEd, MSW)"
5711,50-60,male,40-50hr,"Arts, design, entertainment, sports, and media occupations",WIFE ISSUE,"MASTER'S DEGREE (EX: MA, MS, MEng, MEd, MSW)"
5957,40-50,male,30-40hr,Transportation and material moving occupations,WIFE ISSUE,"MASTER'S DEGREE (EX: MA, MS, MEng, MEd, MSW)"
5316,50-60,male,Much hr,"Education, training, and library occupations",WIFE ISSUE,"MASTER'S DEGREE (EX: MA, MS, MEng, MEd, MSW)"
4975,60-70,female,30-40hr,Healthcare practitioner and technical occupations,MARRIED - SPOUSE PRESENT,ASSOCIATE DEGREE-ACADEMIC PROGRAM
5549,40-50,female,30-40hr,Office and administrative support occupations,MARRIED - SPOUSE PRESENT,ASSOCIATE DEGREE-ACADEMIC PROGRAM
5729,30-40,female,30-40hr,Office and administrative support occupations,MARRIED - SPOUSE PRESENT,ASSOCIATE DEGREE-ACADEMIC PROGRAM
6007,30-40,female,10-20hr,Office and administrative support occupations,MARRIED - SPOUSE PRESENT,ASSOCIATE DEGREE-ACADEMIC PROGRAM
5198,50-60,male,Much hr,"Arts, design, entertainment, sports, and media occupations",MARRIED - SPOUSE PRESENT,ASSOCIATE DEGREE-ACADEMIC PROGRAM
5313,40-50,male,Little hr,"Arts, design, entertainment, sports, and media occupations",MARRIED - SPOUSE PRESENT,ASSOCIATE DEGREE-ACADEMIC PROGRAM
5482,40-50,male,30-40hr,Computer and mathematical science occupations,MARRIED - SPOUSE PRESENT,ASSOCIATE DEGREE-ACADEMIC PROGRAM
5032,60-70,female,20-30hr,Healthcare practitioner and technical occupations,WIFE ISSUE,ASSOCIATE DEGREE-ACADEMIC PROGRAM
5956,40-50,male,30-40hr,Transportation and material moving occupations,WIFE ISSUE,ASSOCIATE DEGREE-ACADEMIC PROGRAM
5164,40-50,female,30-40hr,Community and social service occupations,WIFE ISSUE,ASSOCIATE DEGREE-ACADEMIC PROGRAM
5922,60-70,male,30-40hr,Sales and related occupations,WIFE ISSUE,ASSOCIATE DEGREE-ACADEMIC PROGRAM
5797,50-60,female,30-40hr,Computer and mathematical science occupations,WIFE ISSUE,ASSOCIATE DEGREE-ACADEMIC PROGRAM
5773,30-40,male,20-30hr,Office and administrative support occupations,NEVER MARRIED,ASSOCIATE DEGREE-ACADEMIC PROGRAM
5064,40-50,male,30-40hr,"Education, training, and library occupations",NEVER MARRIED,ASSOCIATE DEGREE-ACADEMIC PROGRAM
5537,70-80,male,30-40hr,"Installation, maintenance, and repair occupations",WIFE ISSUE,ASSOCIATE DEGREE-ACADEMIC PROGRAM
5523,60-70,male,10-20hr,Healthcare practitioner and technical occupations,MARRIED - SPOUSE PRESENT,"BACHELOR'S DEGREE (EX: BA, AB, BS)"
5542,50-60,female,30-40hr,Healthcare practitioner and technical occupations,MARRIED - SPOUSE PRESENT,"BACHELOR'S DEGREE (EX: BA, AB, BS)"
